label,epoch,train_loss,train_acc,val_loss,val_acc,train_spikes,val_spikes,log_path
SCNN base latency,1,3.2001,0.0424,3.1791,0.0417,0.01,0.0,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/runs/scnn/launch/train_three_base_20260331_103551.log
SCNN base latency,2,3.1904,0.0421,3.1781,0.0416,0.01,0.0,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/runs/scnn/launch/train_three_base_20260331_103551.log
SCNN base latency,3,3.1817,0.0418,3.1781,0.0416,0.0,0.0,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/runs/scnn/launch/train_three_base_20260331_103551.log
SCNN base latency,4,3.1804,0.0416,3.1781,0.0416,0.17,0.04,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/runs/scnn/launch/train_three_base_20260331_103551.log
SCNN base latency,5,3.1494,0.0699,3.1294,0.0598,0.47,0.1,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/runs/scnn/launch/train_three_base_20260331_103551.log
SCNN deep latency,1,3.5055,0.0503,3.1781,0.0416,81.69,0.0,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/runs/scnn/launch/train_three_deep_20260331_103651.log
SCNN deep latency,2,3.1871,0.0418,3.1781,0.0416,0.0,0.0,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/runs/scnn/launch/train_three_deep_20260331_103651.log
SCNN deep latency,3,3.179,0.0418,3.1781,0.0416,0.0,0.0,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/runs/scnn/launch/train_three_deep_20260331_103651.log
SCNN deep latency,4,3.1781,0.0417,3.1781,0.0416,0.0,0.0,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/runs/scnn/launch/train_three_deep_20260331_103651.log
